fontecontato,ranking,score,idusuarioinclusao,idinterno,tipopessoa,cnpjcpf
Ações de Marketing (Internet/Site),0,,1328,946628,Jurídica,01915661000100
Ações de Marketing (Feira),0,,3002,3248332,Jurídica,42250515000190
ERP,0,,1187,842861,Jurídica,51482776000126
ERP,1,1.0,1187,844143,Jurídica,05584491000189
ERP,1,1.0,1187,841155,Jurídica,92225259000159
ERP,0,,1187,843156,Jurídica,13079997000169
ERP,1,1.0,1187,841913,Jurídica,00230902000114
ERP,1,1.0,1187,842774,Jurídica,10963007000162
ERP,1,1.0,1187,845478,Jurídica,22861570000109
ERP,1,1.0,1187,845086,Jurídica,07571370000128
ERP,1,1.0,1187,841449,Jurídica,87286266000120
ERP,1,1.0,1187,844932,Jurídica,06221398000172
Ligação / Visita Receptiva/ Cliente Contatou,0,,1331,1546976,Jurídica,
ERP,1,1.0,1187,841670,Jurídica,02356775000120
Ações de Marketing (Feira),0,,1331,1550313,Jurídica,76152008000135
ECONODATA,0,,1752,1534914,Jurídica,19540842000164
Ações de Marketing (Internet/Site),0,,1241,1535024,Física,
Ações de Marketing (Feira),0,,1216,1402495,Jurídica,61064838000567
ERP,0,,1187,842198,Jurídica,01653972000148
ERP,1,1.0,1187,844314,Jurídica,05240675000121
ERP,1,1.0,1187,842688,Jurídica,02583502000118
Ações de Marketing (Feira),0,,1718,1467948,Jurídica,01485633000108
Indicação,0,,1328,921824,Jurídica,80052657000131
ERP,1,1.0,1187,844313,Jurídica,13092277000133
Indicação,0,,1328,1430115,Jurídica,03279333000190
ERP,1,1.0,1187,841506,Jurídica,90575408000184
ERP,1,1.0,1187,841579,Jurídica,91368670000110
Indicação,0,,1328,929956,Jurídica,04256325000190
ERP,0,,1187,842472,Jurídica,54255526000141
Indicação,0,,1328,1271213,Jurídica,04378626000197
ERP,1,1.0,1187,845578,Jurídica,08926690000116
ERP,1,1.0,1187,842620,Jurídica,89041560000106
ERP,1,1.0,1187,845445,Jurídica,09126540000190
Ações de Marketing (Feira),0,,1328,900339,Jurídica,
Ações de Marketing (Feira),0,,1328,901236,Jurídica,79399341000131
Ações de Marketing (Feira),0,,1328,900436,Filial,04337617000158
ERP,1,1.0,1187,844816,Jurídica,17716653000174
ECONODATA,0,,1856,1623897,Filial,29189440000110
Ligação / Visita Receptiva/ Cliente Contatou,0,,1216,1534441,Jurídica,43912849000144
ERP,1,1.0,1187,844492,Jurídica,09038924000151
Ações de Marketing (Feira),0,,1328,912760,Jurídica,10682038000145
Ações de Marketing (Feira),0,,1328,912785,Jurídica,18243891000172
